selection_reason,date,sofr_percent,previous_sofr_percent,change_bp,window,standard_z,robust_z,percentile_strict,percentile_midrank,percentile_weak,prior_less_count,prior_equal_count,prior_greater_count,baseline_first_change_date,baseline_last_change_date
top absolute movement with all windows available,2022-12-15,4.32,3.8,52.0,60,3.6605637144352463,35.074,96.66666666666667,96.66666666666667,96.66666666666667,58,0,2,2022-09-19,2022-12-14
top absolute movement with all windows available,2022-12-15,4.32,3.8,52.0,120,4.264923956543845,35.074,97.5,97.5,97.5,117,0,3,2022-06-23,2022-12-14
top absolute movement with all windows available,2022-12-15,4.32,3.8,52.0,252,5.061387619031444,,98.41269841269842,98.41269841269842,98.41269841269842,248,0,4,2021-12-13,2022-12-14
top absolute movement with all windows available,2024-09-19,4.82,5.33,-51.0,20,-26.417781692831813,-34.399499999999996,100.0,100.0,100.0,20,0,0,2024-08-21,2024-09-18
top absolute movement with all windows available,2024-09-19,4.82,5.33,-51.0,60,-25.964264276142785,-34.399499999999996,100.0,100.0,100.0,60,0,0,2024-06-25,2024-09-18
top absolute movement with all windows available,2024-09-19,4.82,5.33,-51.0,120,-34.11165875705687,,100.0,100.0,100.0,120,0,0,2024-03-28,2024-09-18
top absolute movement with all windows available,2024-09-19,4.82,5.33,-51.0,252,-37.27631905345182,,100.0,100.0,100.0,252,0,0,2023-09-18,2024-09-18
top absolute movement with all windows available,2022-05-05,0.79,0.3,49.0,20,67.54183888524209,,100.0,100.0,100.0,20,0,0,2022-04-06,2022-05-04
top absolute movement with all windows available,2022-05-05,0.79,0.3,49.0,60,14.790596269626302,,100.0,100.0,100.0,60,0,0,2022-02-08,2022-05-04
top absolute movement with all windows available,2022-05-05,0.79,0.3,49.0,120,20.88007553236983,,100.0,100.0,100.0,120,0,0,2021-11-10,2022-05-04
top absolute movement with all windows available,2022-05-05,0.79,0.3,49.0,252,29.751234068497446,,100.0,100.0,100.0,252,0,0,2021-05-04,2022-05-04
top absolute movement with all windows available,2019-10-01,1.88,2.35,-47.0,20,-0.5226390659474084,-7.119722222222222,80.0,80.0,80.0,16,0,4,2019-09-03,2019-09-30
