date,previous_date,sofr_percent,previous_sofr_percent,change_bp,absolute_change_bp,calendar_gap_days,current_processed_id,previous_processed_id,month_end,quarter_end,year_end,around_month_end,around_quarter_end,around_year_end,window,baseline_first_change_date,baseline_last_change_date,baseline_level_min_percent,baseline_level_max_percent,baseline_level_range_percent,baseline_processed_ids_sha256,prior_mean_bp,prior_median_bp,prior_std_bp,prior_mad_bp,standard_z,robust_z,percentile_strict,percentile_midrank,percentile_weak,prior_less_count,prior_equal_count,prior_greater_count,prior_max_abs_bp,std_without_largest_bp,std_inflation_ratio,z_without_largest
2023-05-04,2023-05-03,5.06,4.81,25.0,25.0,1,proc_sha256:fc522011daebf8caff21b9b017587159b2a0bed2a3140dee85a174f7a6a4624d,proc_sha256:55cc9c33def14d06f9a5146ad6dc094a3f8b4295d115e863f62578fdd0dfcd58,False,False,False,False,False,False,20,2023-04-05,2023-05-03,4.8,4.81,0.009999999999999787,0ce0349824193d18db8cde8c1dae429d2d5b326f9d15c456101a8c36d577f4ce,-0.1,0.0,0.5525062514530825,0.0,45.42935022723708,,100.0,100.0,100.0,20,0,0,2.0,0.3333333333333333,1.6575187543592476,75.0
2019-09-17,2019-09-16,5.25,2.43,282.0,282.0,1,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,proc_sha256:933e99e3acc1f014fceee8094d988ebc3370be6a1d04b954a3ee39c1072b627e,False,False,False,False,False,False,120,2019-03-27,2019-09-16,2.09,2.76,0.6699999999999999,1a3e87421ef77ebca3d5a22f5744767e33cd1e1fd89bb153da9be2cd07142ece,0.025,0.0,6.823664335090289,1.5,41.323105321866485,126.806,100.0,100.0,100.0,120,0,0,36.0,5.988844493535784,1.1393958120728613,47.032823979916884
2019-09-17,2019-09-16,5.25,2.43,282.0,282.0,1,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,proc_sha256:933e99e3acc1f014fceee8094d988ebc3370be6a1d04b954a3ee39c1072b627e,False,False,False,False,False,False,60,2019-06-21,2019-09-16,2.09,2.59,0.5,8800065b26abe0d00ba8d2bc703285b81f1ebdb440995356c1071d46dbb017aa,0.11666666666666667,0.0,7.0520862802403945,2.0,39.97162288316818,95.1045,100.0,100.0,100.0,60,0,0,36.0,5.264816558596799,1.3394742631108778,53.42468883961335
2024-09-19,2024-09-18,4.82,5.33,-51.0,51.0,1,proc_sha256:038f4b202f127e4887dcc6327358e8761b4bf98a31e99a590f7323d1d97540d5,proc_sha256:261c4cd2dbc19b689fbeb8ef33563edc3b7fac2f7ccec23e20b53ba5fcead950,False,False,False,False,False,False,252,2023-09-18,2024-09-18,5.3,5.4,0.10000000000000053,f87c9b1105130929f7f055c809532ffeda122f58cd4b4163b0ff6357f16c3ec9,0.007936507936507936,0.0,1.3683737504981228,0.0,-37.27631905345182,,100.0,100.0,100.0,252,0,0,7.0,1.2971928011466196,1.0548730684356131,-39.34330851095795
2019-09-17,2019-09-16,5.25,2.43,282.0,282.0,1,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,proc_sha256:933e99e3acc1f014fceee8094d988ebc3370be6a1d04b954a3ee39c1072b627e,False,False,False,False,False,False,252,2018-09-12,2019-09-16,1.92,3.15,1.23,17564c9d26f34d46ce49eefc9ee558d7349ed5f8753f6096a421d9d40699c597,0.19444444444444445,0.0,7.56629984309546,1.5,37.24483055118599,126.806,100.0,100.0,100.0,252,0,0,54.0,6.771381069887109,1.117393891291013,41.64880360564715
2023-02-02,2023-02-01,4.56,4.31,25.0,25.0,1,proc_sha256:e4df3ddac78c8e4a07ed5ccf7906468d70f999af33abcb757af1e65d16ff3833,proc_sha256:31259c3fb82e5b85ed23f4e34822b2d7dfa7436d2e7ffcc1767f8364df8285fd,False,False,False,False,False,False,20,2023-01-04,2023-02-01,4.3,4.31,0.009999999999999787,ed8f911c3613928b15aa07ac76107a891186b5b9424ff49037bf2a8bfceaf321,0.0,0.0,0.7254762501100117,0.5,34.46012188022555,33.725,100.0,100.0,100.0,20,0,0,1.0,0.7050361858740393,1.0289915108550531,35.384521987513544
2024-09-19,2024-09-18,4.82,5.33,-51.0,51.0,1,proc_sha256:038f4b202f127e4887dcc6327358e8761b4bf98a31e99a590f7323d1d97540d5,proc_sha256:261c4cd2dbc19b689fbeb8ef33563edc3b7fac2f7ccec23e20b53ba5fcead950,False,False,False,False,False,False,120,2024-03-28,2024-09-18,5.3,5.4,0.10000000000000053,7db443592743ccc284c2932d25f1920911e97dfb61fdbc2ca5bb035cb319aac1,0.0,0.0,1.495090003192804,0.0,-34.11165875705687,,100.0,100.0,100.0,120,0,0,7.0,1.3548038675179794,1.1035471916180981,-37.600406739252385
2022-05-05,2022-05-04,0.79,0.3,49.0,49.0,1,proc_sha256:1f740fe739f6b9cec51f720ea3acb73e40faad39547ad2ce30323aa87178fb20,proc_sha256:85235a728c3d14547aa56bd3a824a161b29315af4b68f05c5cd9012ded9c7586,False,False,False,False,False,False,252,2021-05-04,2022-05-04,0.01,0.3,0.29,40e6f0bd62d2c69138210e9fc6afdb9ef9cd8a73da304bd2a5ea41cf315c39c1,0.11507936507936507,0.0,1.643122450731655,0.0,29.751234068497446,,100.0,100.0,100.0,252,0,0,25.0,0.4730169340735263,3.4737074560553602,103.556680990634
2023-03-23,2023-03-22,4.8,4.55,25.0,25.0,1,proc_sha256:1df14b2c9e3fc681edc3270d3cff4994a0d1a24eac67e9b2fdcbbb7a0bbbe1c0,proc_sha256:7588039697ea1ec259c51df8f299118e8c98cd7a299f2fea2042d2e87491bd90,False,False,False,False,False,False,20,2023-02-23,2023-03-22,4.55,4.58,0.03000000000000025,6a9c6033e06a37631b4cdda8355f0dc1367264f20ae8c8ac9faed5ab63c44832,0.0,0.0,0.8583950752789521,0.0,29.12411862553588,,100.0,100.0,100.0,20,0,0,3.0,0.501459857121279,1.711792206472367,50.16930942641261
2020-03-04,2020-03-03,1.23,1.64,-41.0,41.0,1,proc_sha256:7596a18a6ed484b0890669764968252339b633b1254b9df9f1c82a83bf3baddb,proc_sha256:e2e3e8d73e34e0a11d24d389858f1afce85f332c0f68219533d9d8c281ffc0e3,False,False,False,False,False,False,20,2020-02-04,2020-03-03,1.57,1.64,0.06999999999999984,75ac4f9141c64209513b1e8012c94bd57b471ef3dbc152edbc347f7c55e4ca24,0.25,0.0,1.5517392618742702,1.0,-26.583074240305123,-27.6545,100.0,100.0,100.0,20,0,0,5.0,1.1055415967851332,1.4036009738454531,-37.08589538306493
